FOD1P,Major,Major_Category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,Ocupation industry
6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts,90852,61295,38989,4185,0.063912645,44500,30000,70000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
6402,HISTORY,Humanities & Liberal Arts,712509,478416,354163,33725,0.06585100599999999,50000,35000,80000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,42325,33388,25780,1941,0.054940699999999995,40000,26200,60000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,402038,241585,154167,14273,0.055784849000000004,40500,30000,60000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,4315,1650,1708,187,0.10179640699999999,64000,39750,90000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,350409,286683,204242,14108,0.046902999,44000,30000,60000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,92346,79055,65916,4257,0.051097080999999996,65000,45000,95000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,15726,12607,10453,692,0.052033987999999996,48000,32000,75000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,126639,98814,83519,4902,0.047263682,67000,42500,98000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
3201,COURT REPORTING,Law & Public Policy,9330,7270,6143,518,0.066512583,50000,34000,75000.0,Legal Occupations
3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy,67037,49259,37254,3699,0.069847804,48000,34000,70000.0,Legal Occupations
5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,757141,613369,517599,35037,0.054035589,50000,35000,74000.0,Legal Occupations
5401,PUBLIC ADMINISTRATION,Law & Public Policy,54636,37879,31262,2836,0.069654918,56000,40000,85000.0,Legal Occupations
5402,PUBLIC POLICY,Law & Public Policy,14782,11147,8196,959,0.079216917,60000,38000,90000.0,Legal Occupations
5000,PHYSICAL SCIENCES,Physical Sciences,8856,5872,4961,238,0.038952537,60000,38000,89000.0,"Life, Physical, and Social Science Occupations"
5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,4700,3400,2447,320,0.086021505,80000,40000,106000.0,"Life, Physical, and Social Science Occupations"
5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,14051,11252,9098,429,0.036726308,60000,39000,90000.0,"Life, Physical, and Social Science Occupations"
5003,CHEMISTRY,Physical Sciences,308062,198075,153308,11468,0.054728624000000003,59000,38700,90000.0,"Life, Physical, and Social Science Occupations"
5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,107902,75698,59262,5272,0.065110535,65000,42000,100000.0,"Life, Physical, and Social Science Occupations"
5005,GEOSCIENCES,Physical Sciences,8267,6129,5020,274,0.042792440999999994,57000,36000,80000.0,"Life, Physical, and Social Science Occupations"
5006,OCEANOGRAPHY,Physical Sciences,10741,7882,6508,449,0.053895091,55000,40000,90000.0,"Life, Physical, and Social Science Occupations"
5007,PHYSICS,Physical Sciences,122620,80797,60812,4440,0.052090055,70000,40000,110000.0,"Life, Physical, and Social Science Occupations"
5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,427953,308461,238933,14613,0.045231124000000004,56000,38000,85000.0,"Life, Physical, and Social Science Occupations"
5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,12166,9560,7238,718,0.069857949,62000,45000,80000.0,"Life, Physical, and Social Science Occupations"
5200,PSYCHOLOGY,Psychology & Social Work,1484075,1055854,736817,79066,0.069666584,45000,31000,68000.0,Community and Social Service Occupations
5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,14041,8751,5763,716,0.07563114,40000,33000,70000.0,Community and Social Service Occupations
5202,CLINICAL PSYCHOLOGY,Psychology & Social Work,7638,5128,3297,587,0.102712161,45000,26100,62000.0,Community and Social Service Occupations
5203,COUNSELING PSYCHOLOGY,Psychology & Social Work,17633,13071,8888,954,0.06802139,39000,25000,50000.0,Community and Social Service Occupations
5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,17969,11878,8631,1084,0.08362907,62000,40000,84000.0,Community and Social Service Occupations
5206,SOCIAL PSYCHOLOGY,Psychology & Social Work,10871,6897,5226,660,0.087336245,47000,35000,70000.0,Community and Social Service Occupations
5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,34102,23921,15688,2137,0.082009364,45000,30000,70000.0,Community and Social Service Occupations
5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,81786,61402,44959,4794,0.072421294,38000,29000,52000.0,Community and Social Service Occupations
5404,SOCIAL WORK,Psychology & Social Work,319163,225081,164020,14208,0.059375900999999995,40000,30000,53000.0,Community and Social Service Occupations
4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,61871,43312,31078,3030,0.065383453,45000,33000,67000.0,"Life, Physical, and Social Science Occupations"
5500,GENERAL SOCIAL SCIENCES,Social Science,127363,80165,57036,6132,0.07105693099999999,50000,35000,75000.0,"Life, Physical, and Social Science Occupations"
5501,ECONOMICS,Social Science,757616,535446,430580,34974,0.061312717,69000,42000,110000.0,"Life, Physical, and Social Science Occupations"
5503,CRIMINOLOGY,Social Science,75085,59534,48763,4106,0.06451917,49000,35000,72000.0,"Life, Physical, and Social Science Occupations"
5504,GEOGRAPHY,Social Science,115423,83671,63070,6202,0.06900849,54000,38300,78000.0,"Life, Physical, and Social Science Occupations"
5505,INTERNATIONAL RELATIONS,Social Science,77371,56564,42091,4278,0.07031327,55000,40000,89000.0,"Life, Physical, and Social Science Occupations"
5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science,748956,541630,421761,40376,0.069373855,58000,38000,90000.0,"Life, Physical, and Social Science Occupations"
5507,SOCIOLOGY,Social Science,674558,459174,336515,32344,0.06580430400000001,47000,33000,70000.0,"Life, Physical, and Social Science Occupations"
5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science,15882,12307,9444,708,0.054398771,52000,40000,80000.0,"Life, Physical, and Social Science Occupations"
